"id"	"sp"	"sex"	"FL"	"RW"	"CL"	"CW"	"BD"
365	"O"	"F"	20.8931353787519	16.5059283751156	39.8834775409382	44.6975199466385	17.5176198020019
366	"O"	"F"	17.5143421135005	14.2814347046334	34.4825823049061	39.6070379121508	15.6138082189113
367	"O"	"M"	12.6916103235725	10.4180383749958	26.0062554130424	28.809880635133	12.0913493306283
368	"O"	"M"	23.0941944364365	15.6993447927665	47.5974384124111	52.7902148134354	21.6093388173264
369	"O"	"F"	16.1082834227476	13.600827718107	31.6183568664175	35.9944679768477	13.9879226430971
370	"O"	"F"	19.0932106618397	16.2802762883622	37.9006680181716	42.6092490633391	17.1803081261646
371	"O"	"M"	18.3846907828189	13.3921441058163	37.8875031850021	42.1813316730317	17.7177981326263
372	"O"	"M"	22.1023772426136	15.8107267855387	44.5869242807012	49.5822651524842	20.4945121799503
373	"O"	"M"	20.9950679206289	14.9847601924371	42.8994140857551	47.1910550450441	19.3872503598314
374	"O"	"M"	14.1138165311795	10.4889083017129	29.0900333584473	31.580169552071	13.0970420790464
375	"O"	"M"	18.7998242382798	13.7905956071056	39.1974865160696	43.3185693407338	17.8884726018924
376	"O"	"M"	20.5915075557958	14.3917220489681	42.8010500060674	46.5052189199068	19.5947887691483
377	"O"	"F"	15.6144269256387	13.9889378365595	31.6098968575615	35.3025290191919	13.7977917098627
378	"O"	"F"	15.6157192651834	14.0137268959079	31.6150184812676	35.3139023502264	13.8151824111119
379	"O"	"F"	15.6157392469607	13.513303291332	31.1915610273648	35.0978896816075	14.0992981272656
380	"O"	"F"	15.6994094238058	13.5972187197674	30.9996288087871	34.7807111458201	13.7960548884142
381	"O"	"M"	18.589396262262	13.3912685703859	37.806704996489	41.9082887838688	17.3163336409349
382	"O"	"M"	18.411331850281	13.4135970250703	37.8808328598458	42.1917738464754	17.6905695537012
383	"O"	"M"	15.4139047684055	11.0944281223416	30.207784791002	33.61938183547	13.5140495894384
384	"O"	"F"	18.6003084269073	14.5045969816763	34.6982440861315	39.3857049183268	15.0119209587853
385	"O"	"F"	17.1115666116588	14.5086213947274	33.1034198139235	37.1963908619713	14.6020097894222
386	"O"	"M"	14.1804578629695	11.3148240175936	29.2079675508384	32.2161546647362	13.4972714924812
387	"O"	"F"	12.9052639713511	11.2040788033791	25.7979753590934	29.1079592810944	11.9158002409153
388	"O"	"M"	21.5984320474044	15.4113897489291	45.718955422556	49.6820742055681	20.5858261182718
389	"O"	"F"	18.8969671754818	16.7015719798859	36.2838766293786	41.7133725062944	15.3096117570065
390	"O"	"F"	14.6940019751154	13.1992378226016	29.5927159664407	33.4064666738454	12.8801940114331
391	"O"	"M"	17.3810166501161	12.7887584311794	36.0935706207994	39.5140662998334	16.2104640932847
392	"O"	"M"	17.5097253596503	11.9841304056998	34.4047879524901	37.3131235366594	15.2870669237617
393	"O"	"F"	20.3065360932425	16.0176457812265	39.41767273237	44.1186787272338	18.004129998507
394	"O"	"M"	18.6086336126737	13.3991034170147	37.797534213243	41.8858547993936	17.2881263877824
395	"O"	"M"	14.1891798832547	10.6976263492182	27.7936926420219	30.8930082717165	12.7093469340634
396	"O"	"F"	18.4885685021803	14.6029074826371	36.99177785323	42.0015995977074	16.5921922823973
397	"O"	"F"	17.5187042786274	14.3102466373611	34.5183967084158	39.5928789925948	15.5915442952327
398	"O"	"F"	14.9134707150981	13.0033144322503	30.0081872547697	33.6837836720143	13.289304115735
399	"O"	"F"	14.9098164768238	13.0024146560393	29.9880187411513	33.6850820034836	13.3101290187147
400	"O"	"F"	15.6016973941773	14.0836181466933	30.9851401339285	34.49968017946	13.7851705427188
401	"O"	"M"	18.6139913963992	13.3920085685048	37.8085270556621	41.9103604194056	17.2931590966228
402	"O"	"M"	17.9946787278913	13.404512802409	36.7139753472805	41.2853896217141	17.1188928384706
403	"O"	"M"	17.5147852566931	12.7175898248795	34.6141690074652	38.3881188321486	16.1065536408499
404	"O"	"F"	22.4861228369642	17.2088605682086	43.0145938469004	48.6886030289624	19.8156614895444
405	"O"	"M"	19.4170317033678	14.4042877849285	39.7896441724524	44.2804670503736	17.9052091851644
406	"O"	"F"	14.0137061153818	11.8919435417466	27.0071655718144	31.4169124824367	12.5994434023369
407	"O"	"M"	17.487524871612	12.6953810758423	34.6181618077215	38.3833858005889	16.0886463616882
408	"O"	"M"	18.5807735834457	13.4130096560717	37.7969782127533	41.8802412141021	17.3059365652781
409	"O"	"F"	17.4960701841488	14.6926625406463	33.2961307426076	37.5946766347438	14.5856035410427
410	"O"	"M"	14.2156528884731	10.6849902604707	27.8010418749414	30.9006097027566	12.6952697391342
411	"O"	"F"	19.1189666062035	16.2962241749372	37.885650994489	42.5844621049147	17.2169051767886
412	"O"	"F"	15.7035952922702	13.5981329334155	30.9984580947459	34.7936761545204	13.7824053613562
413	"O"	"M"	19.3867650273629	14.4129638707545	39.8046025906783	44.3062489191443	17.8870756668225
414	"O"	"F"	18.4176950012986	15.6964395492896	36.5007062801812	41.6014763456862	16.3830916905031
415	"O"	"F"	20.8923581487685	16.5012973581348	39.8851427347306	44.7053825202771	17.5127862472553
416	"O"	"F"	13.9838317277934	12.787563925758	28.8162461846415	32.3906087705307	12.7145188862737
417	"O"	"M"	15.3969990300667	11.082575168917	30.1960309809912	33.6104053191375	13.4965801509563
418	"O"	"F"	20.1057909015752	17.1870638403576	39.7846420682967	44.0832382501382	18.5943201789539
419	"O"	"M"	10.6971152340155	8.59634819000028	20.7052779868059	22.6955061017722	9.19256477819756
420	"O"	"F"	20.0874701827299	17.1851566585805	39.8167230933905	44.0827410275023	18.5807243127283
421	"O"	"F"	19.1023679953441	16.3145977939945	37.9172999331728	42.590266559599	17.2043173633982
422	"O"	"M"	18.5971188438497	13.5101931089256	36.9041531924065	40.2019563070592	16.9922692730837
423	"O"	"M"	23.0141577424761	16.8156937953737	47.2170506070089	52.1016952073108	21.4963046636805
424	"O"	"F"	12.593546551913	11.5046176471841	24.9848345000017	28.0993888537679	11.5113848720025
425	"O"	"M"	13.3942480647936	10.1130900508445	26.581951292688	29.5903344041947	11.9842374934442
426	"O"	"M"	15.0910993338283	11.5129195518605	30.9171318565682	34.0054254590254	13.8860204380006
427	"O"	"F"	17.5139680598769	14.6928196020424	33.2892000699229	37.584430665141	14.6198210506514
428	"O"	"F"	14.8833019140549	13.0143375842273	30.0022062004544	33.6839990677312	13.3051923423167
429	"O"	"F"	16.0907977012638	13.6837196078524	31.3944652397186	36.0853381083999	13.8887162026111
430	"O"	"F"	18.3954332452454	15.5160754576698	35.5907586947549	40.007584184492	15.8989532507956
431	"O"	"F"	17.996990401689	16.3014230693597	37.8953603016213	42.9991198727023	17.2065735760052
432	"O"	"M"	14.6821952199377	11.0988230233267	28.9801821677387	32.0925502595399	13.0943121931422
433	"O"	"F"	17.4929765841737	14.4041448377259	34.4831104954146	39.0161949634645	15.9861039597075
434	"O"	"F"	16.7074808906391	14.3197222551145	32.3160465753078	37.0011714727525	14.7107554686628
435	"O"	"M"	9.08583159047179	6.89112749692053	16.6920891147479	18.5876680212002	7.40926434233785
436	"O"	"F"	19.9840923518501	16.7109770573862	40.4002964238729	45.0879069362022	17.6829398626927
437	"O"	"M"	16.1876753237564	11.8064628553297	32.2842613920476	35.3139163427707	14.6901525737625
438	"O"	"F"	13.9817152859643	12.8184125011787	28.7904148951825	32.4021640050411	12.6845223684609
439	"O"	"M"	16.3083220561408	11.6091558330692	31.5818206401635	34.2093929849193	14.4974184213765
440	"O"	"M"	16.3131938791182	11.5848756717425	31.5863529491983	34.2006259392574	14.4802177551575
441	"O"	"M"	18.6004673486762	13.4890195904393	36.9146032825578	40.1832585161179	16.9877583502047
442	"O"	"F"	21.3015510050859	18.3991260069236	43.8086792501714	48.4106841933168	19.9953814497311
443	"O"	"M"	17.9048135783523	12.8975815943815	36.9161850895733	40.9160981062613	16.4934554767888
444	"O"	"M"	16.1955981078092	11.7914157376811	32.3147863644361	35.2915619891137	14.6997182704508
445	"O"	"F"	19.9001399483625	17.8930567100644	40.0916880076192	46.4077200651728	17.9058173189405
446	"O"	"F"	19.9963577022869	16.7180869412608	40.4073191391863	45.0970864490233	17.6834980820492
447	"O"	"F"	20.2844866374787	15.9866239888314	39.3863753384259	44.0937285862397	18.0168697677646
448	"O"	"F"	10.6835262629855	9.68169564839453	21.4125376412924	23.9840830710903	9.79342648070306
449	"O"	"F"	19.6998590333108	16.7175165627711	39.8949095095135	43.6161648282595	18.1937320754398
450	"O"	"F"	14.8816602948029	13.0019408996217	30.0018059069756	33.7156130407285	13.2866516099032
451	"O"	"F"	16.1075675132033	13.5861320905015	31.6088278372958	35.9812695102021	14.000133717116
452	"O"	"M"	14.0858029753156	10.4825035708491	29.1022119673993	31.5862185399234	13.0990141764004
453	"O"	"M"	9.11219114165753	6.88269216698594	16.7126281061489	18.5897006906197	7.41843142251484
454	"O"	"M"	18.1886671231035	13.6804674196616	38.8094847134873	42.6967393213883	17.1873322893865
455	"O"	"M"	21.5828645677958	15.3878539847024	45.6854035419505	49.6814823525865	20.6189055354148
456	"O"	"M"	15.1014948896132	11.3931784889288	30.2169747156184	33.3078020100109	14.0121814895142
457	"O"	"F"	20.5834237071499	17.4849262079317	41.51347517116	46.1862054545991	19.1958717786614
458	"O"	"M"	19.3884477123711	14.3968350959476	39.7929415291082	44.315622648932	17.9068116423674
459	"O"	"F"	21.4104415115435	17.9987979500089	41.1941345567256	46.2050538611878	18.6808435679041
460	"O"	"F"	16.7062315098196	14.2836670902465	32.2971180377807	37.010053704353	14.6963350354414
461	"O"	"F"	21.3146495393198	18.3920838439651	43.7998952322546	48.3941461322457	20.0145400843862
462	"O"	"F"	15.593865692988	14.1093617364112	31.0001616845466	34.5120592916664	13.7818184551969
463	"O"	"F"	20.00375940172	16.7082473512273	40.3825583584234	45.0909163436201	17.6979390594922
464	"O"	"F"	16.0931505363807	13.6139790518396	31.6003900942672	35.9914019706845	13.9862281530257
465	"O"	"F"	20.589553434737	17.4800294738356	41.4811575822066	46.2104580787197	19.2022767689545
466	"O"	"F"	12.4997459742427	9.98243848520331	24.1134240042698	26.9827229928598	10.886918215761
467	"O"	"M"	20.0976813683193	13.6875599815324	40.5826492830925	44.4911155831907	18.0122755577601
468	"O"	"M"	13.6948533019889	10.9896592468768	27.5088919118885	30.5114143391605	12.2045980695169
469	"O"	"F"	11.3933665224258	9.19908652128652	21.6806796423998	24.0969240136258	9.71520757036284
470	"O"	"M"	13.9986161498725	11.5054994199425	29.2106606973615	32.2078014015965	13.1193759421445
471	"O"	"F"	19.9063925131317	17.9050558570866	40.1119256206602	46.4169058477692	17.8966314214561
472	"O"	"M"	21.5888208319433	15.386993470015	45.7023092827667	49.7052015240304	20.614240982458
473	"O"	"F"	17.4942732954863	14.2820877126977	34.5099293459486	39.5974431936815	15.585022552209
474	"O"	"M"	11.3861881761719	8.98415284661576	22.7171513987705	24.8002643549629	10.0842454235535
475	"O"	"F"	17.5013044645451	14.4087339842319	34.5160092711821	39.0113126301859	15.9902637570538
476	"O"	"F"	19.9030966854468	17.9053181064781	40.1153153760452	46.3814003649075	17.8898739215825
477	"O"	"M"	14.1997321900912	11.3109606943186	29.1854806194827	32.1953969808202	13.5185093311686
478	"O"	"F"	18.6128167525958	14.498645602297	34.7187385286763	39.3940312824678	14.9868418045435
479	"O"	"F"	18.3840635483153	15.6826072935108	36.49572601174	41.6184420519695	16.4060783369839
480	"O"	"F"	18.5886742193531	14.4954587186314	34.6826014041901	39.4015457359422	15.0099160519335
481	"O"	"F"	15.5915867724456	14.0124229031987	31.6137601935584	35.3056756159943	13.8102267294377
482	"O"	"F"	18.884397068629	16.716436571572	36.310433140602	41.680295218993	15.3077302368917
483	"O"	"M"	12.517311362559	9.41784106980078	24.2015510235075	26.9802955217101	11.217660933435
484	"O"	"F"	18.8111598310061	15.196408886835	35.7991989390273	40.4939135627728	16.6096600294951
485	"O"	"M"	19.4049520937167	14.0844311255589	39.1192450732365	43.1804014098644	17.7977167388145
486	"O"	"F"	16.0868155362457	13.5986734930892	31.583588312529	36.0097203909233	13.9899169688858
487	"O"	"M"	17.8956879589614	12.912357673943	36.9194936273526	40.9184587184805	16.5065600783471
488	"O"	"M"	14.5860176206473	11.3095145595539	29.9171671108436	33.4907458759379	12.7932818229217
489	"O"	"M"	14.6958154030982	11.0913734980673	29.0169579050969	32.0948230728228	13.1168262017518
490	"O"	"M"	20.1172400938068	13.6946257787384	40.6180809540674	44.481969122123	17.9921809489559
491	"O"	"M"	22.1045688194223	15.7896624513622	44.6151573518291	49.5998563169316	20.4893347736821
492	"O"	"F"	12.6150508600101	11.512002307456	25.0045748576242	28.109125261046	11.5122295620292
493	"O"	"M"	13.2187767645996	10.9813805804122	27.0906393876206	30.3941607590765	12.2084216008801
494	"O"	"F"	16.1126051088888	13.606804486271	31.6097413901612	35.9838613891322	14.0057214454561
495	"O"	"F"	18.9150668838155	16.7132632629853	36.3046970919799	41.6925841081329	15.2942189801391
496	"O"	"M"	17.0907065210212	12.5923256412428	35.0144173376076	38.8953714887612	15.6889904880524
497	"O"	"M"	18.1941164850164	13.6859462536778	38.8055242064223	42.6984119018633	17.1831927419268
498	"O"	"M"	14.6032105481159	11.2854419265129	29.9096450455766	33.5030512371194	12.7977863399498
499	"O"	"M"	12.5126882021129	9.38039225594141	23.2021405874286	26.011468536295	10.80475557887
500	"O"	"M"	10.2071962878294	8.19414145903662	20.1917919766903	22.2031107057352	9.01158060633577
501	"O"	"F"	18.007344136415	16.313444522908	37.9147039582022	42.9928243921138	17.2028753259685
502	"O"	"F"	19.0941339840274	15.9899132748134	37.8034515809175	42.2963300899509	16.7959614395909
503	"O"	"M"	14.7033234654088	11.0916864092555	29.0029334922321	32.1043902738765	13.1067639864702
504	"O"	"F"	17.113055439787	14.5056134430505	33.0821035950817	37.2050801417325	14.5923152629752
505	"O"	"F"	19.9053317877837	17.8911900152173	40.1154251000751	46.4191827702522	17.9164975444134
506	"O"	"F"	15.003076534709	12.2838012071606	30.1138929945696	33.2988453911431	14.0041413750779
507	"O"	"F"	10.6833308385871	9.68919821622781	21.3830620071199	24.0134788675606	9.79364210454747
508	"O"	"M"	17.9121698340774	12.8859587264247	36.9148671225924	40.8925542281475	16.5155151829775
509	"O"	"F"	18.8045740658604	15.1904808401223	35.8084502254054	40.5170846093073	16.5978101762012
510	"O"	"M"	17.8918428077083	12.8946581564285	36.911921474468	40.9014727421664	16.5093164786324
511	"O"	"F"	18.601140196966	14.5074221079983	34.7083251397591	39.3833382517099	14.9916145971604
512	"O"	"M"	17.0842564913165	12.6125209013466	34.9986799206585	38.884657610273	15.7151720432099
513	"O"	"M"	13.3870895881671	10.1100156891812	26.6089718178194	29.5890513407253	11.981194519354
514	"O"	"F"	15.6837090212852	13.5908964873105	31.0102241960261	34.7933793166094	13.8162258477695
515	"O"	"M"	16.2889751720615	11.605107751498	31.6151122006774	34.2084014812671	14.4847394460719
516	"O"	"F"	16.1193254697882	13.6996932137664	31.3835987728834	36.0969420636911	13.9165951051377
517	"O"	"M"	17.3815041168127	12.8018579426315	36.1195913832355	39.4905928870384	16.1962100785132
518	"O"	"M"	14.2183355387207	10.6960457443725	27.7895815241802	30.8998267614096	12.6882843337674
519	"O"	"F"	21.7038058100641	17.1170127672609	41.6871221913677	47.1925297923572	19.6095480882749
520	"O"	"M"	20.9995517219231	15.0066263920721	42.880183012737	47.1938248913549	19.4190315893758
521	"O"	"M"	11.3832342445944	9.01734783029184	22.7129767713789	24.7816474819276	10.0915667420719
522	"O"	"M"	17.9001172341686	12.9194842186384	36.9065222369414	40.9147478202265	16.4884545704816
523	"O"	"M"	21.6180004889611	15.403480855925	45.7083644955698	49.7090275118127	20.5953219468705
524	"O"	"M"	14.6935324649606	11.0936005934607	29.0158589401469	32.1195810472127	13.1033322425
525	"O"	"M"	12.7140698022023	10.3927710076515	26.0073402430676	28.8088937177975	12.0839999438357
526	"O"	"F"	16.1088876895048	13.6942902467214	31.4122545129526	36.1118475642987	13.9153651751298
527	"O"	"M"	13.3837052996177	10.0825889701117	26.6131842584163	29.5946481078956	12.0104346021358
528	"O"	"F"	13.9809411578532	12.804119620584	28.8094776805304	32.40783206122	12.6915171841905
529	"O"	"F"	17.5080224470887	14.4007483076118	34.5148620925844	38.9998869599868	16.0099471858703
530	"O"	"M"	15.1012424552254	11.5191423390526	30.8986495278403	33.9990499697905	13.8987235214841
531	"O"	"F"	21.6854252718762	17.1082363879122	41.7162084395252	47.2178905637283	19.6059223324154
532	"O"	"F"	20.3118133306969	16.0154667892773	39.3890257563721	44.090502247382	18.0089880754519
533	"O"	"M"	21.4833803534508	15.4934117941	45.4889367492311	49.6831966411788	20.896795800887
534	"O"	"M"	11.4131811949611	9.01828807406127	22.6964297090936	24.7921515860222	10.0881344459206
535	"O"	"F"	18.9083036544453	16.7181654082797	36.2940867377445	41.7096772813052	15.3068123736791
536	"O"	"F"	12.6067063685041	11.5190607347246	24.9940906943753	28.0958546037041	11.5006205025036
537	"O"	"F"	16.1130038932152	13.5928467663191	31.6122373734508	35.9921602783259	13.9982464401983
538	"O"	"F"	21.7169316297676	17.1042623206042	41.6917353049293	47.2143408863433	19.590514309369
539	"O"	"M"	14.7002040046453	11.083208058998	28.999109177934	32.0853181164339	13.0857078896649
540	"O"	"M"	11.3895508260839	8.99031772233546	22.7146681079548	24.8131644827686	10.1067653821316
541	"O"	"F"	18.2857183183823	15.6875432124361	35.0965751102287	40.5039615577366	16.1197159859072
542	"O"	"F"	14.6984429699462	13.1954019317962	29.5858916098624	33.3803390918765	12.8952277504653
543	"O"	"F"	18.0157829212211	14.8831743510813	34.7142194641288	39.4933317578584	15.6958578180987
544	"O"	"M"	17.3874135474488	12.7862598028965	36.0872567504551	39.4833217150904	16.2110124405287
545	"O"	"F"	15.5983411323652	13.513671029564	31.2036667666864	35.0839415073302	14.0866271139495
546	"O"	"F"	17.6142065000255	13.9937988211587	33.9814265333768	38.6162474586535	15.5017481898703
547	"O"	"M"	17.796285525132	12.4861180298496	35.9898277228233	39.8026611735299	16.6971152832918
548	"O"	"M"	21.5875934130605	14.8032506137248	43.3889587830286	48.2021318374854	20.1179990448896
549	"O"	"F"	12.6167250261828	11.5165706436522	24.9927082126401	28.0921611471009	11.5020126518887
550	"O"	"M"	17.7979387107957	12.4823224628903	35.9972990998439	39.7926568671316	16.7115578739718
551	"O"	"M"	20.6182497369032	14.3987634306122	42.7954233268742	46.4900878370088	19.5945987437945
552	"O"	"M"	17.5139975544624	11.9802791439462	34.3803028234746	37.2907656906452	15.3124464254081
553	"O"	"M"	12.511437166892	9.40818319242448	23.2105943808332	26.0001856973488	10.7935417565517
554	"O"	"M"	13.690658420641	10.9803646034561	27.5149512921832	30.5000064848643	12.1899706877954
555	"O"	"M"	18.4142484795395	13.4008889034949	37.9110291595012	42.2035827160999	17.7161531840917
556	"O"	"M"	17.0857810470182	12.6036933200806	35.0183745586779	38.9195438448526	15.7133446723688
557	"O"	"F"	17.4995152114984	14.7051816984639	33.3109567714669	37.5885994722322	14.6036812637653
558	"O"	"M"	14.0875597755332	10.4173790107388	28.9103821946401	31.8131673029158	13.5024154999666
559	"O"	"F"	17.5851383168995	13.9918941685464	33.9810759726725	38.5987565085664	15.4915131455474
560	"O"	"M"	18.5824483186938	13.4156153461058	37.7820498975087	41.8927322766092	17.2892781444825
561	"O"	"M"	12.5096068983525	9.41630147286691	24.1897294422984	27.0136991563253	11.1824548504408
562	"O"	"F"	16.0886736132763	13.70697913941	31.3815228650253	36.0991188992374	13.8888597548846
563	"O"	"M"	14.7162321703229	11.1051631134748	28.9947764599696	32.1074909931328	13.0992798758112
564	"O"	"M"	18.398824346615	13.4129561306629	37.8972022791207	42.2183644525521	17.6811131926719
565	"O"	"M"	21.0115384450462	15.0044477476925	42.9125658299308	47.196126176985	19.3966787070595
566	"O"	"F"	18.7995524706971	15.2145956217963	35.8000123137329	40.4809839383513	16.5868777169101
567	"O"	"F"	12.4819911572523	10.0158675986342	24.0977051307168	26.9990200984664	10.8953678608872
568	"O"	"M"	12.7177497810591	10.3971382364072	26.0008242506441	28.8044836729579	12.0926053587347
569	"O"	"F"	14.90725895321	12.9984563650098	29.9840912958514	33.7065307920147	13.2836263261177
570	"O"	"M"	9.11698109611869	6.90026691160165	16.7104011708405	18.6045108924527	7.4041456728708
571	"O"	"M"	14.6821277879737	11.0828163305577	28.9894022498839	32.0911482975818	13.1096560380608
572	"O"	"M"	21.5029941532481	15.4906894912478	45.4981267896295	49.7130361612886	20.8862272532657
573	"O"	"F"	21.3900232137181	17.9801534277573	41.2093817162327	46.1957481477689	18.7162728180829
574	"O"	"F"	12.493612487372	10.0066616682895	24.0970961001422	26.9811018552445	10.9194814396743
575	"O"	"F"	17.5188391979411	14.6850186938141	33.3149141637981	37.6025770730246	14.6035807749629
576	"O"	"M"	18.4177292243764	13.419495676849	37.9137241720967	42.2195908195898	17.6862218372803
577	"O"	"M"	15.3973886218108	11.0965935694706	30.2090805399884	33.5933158481028	13.4975948793534
578	"O"	"F"	22.4876449192408	17.207463793708	42.9814631843381	48.7016647773143	19.7909159405343
579	"O"	"F"	23.1175090198778	20.1812166405935	46.2173344223388	52.5128528793342	21.1177801277582
580	"O"	"M"	10.7038348771352	8.58326156954281	20.6819780839141	22.6924020360783	9.19606346702203
581	"O"	"F"	12.5924859694019	11.497821826553	24.9858212969732	28.1055471316911	11.4904552873783
582	"O"	"M"	18.6058889010083	13.4963950678334	36.9057326324936	40.1893725571968	17.0094069292955
583	"O"	"F"	20.0971650949027	17.2117380513903	39.7888554304838	44.0826521674823	18.5855049390346
584	"O"	"M"	10.2172923477925	8.20742268869653	20.2017413872294	22.184446778968	8.99261504016817
585	"O"	"F"	17.5166516843531	14.7176648926549	33.3036089527141	37.5979435380828	14.6042166530527
586	"O"	"M"	22.1136065274384	15.8063757941872	44.5904331727233	49.6131234921794	20.4900501968898
587	"O"	"M"	18.8127687759511	13.818252061177	39.1975008295104	43.2986919799633	17.8818291444238
588	"O"	"F"	16.1817391814478	13.9807466302253	31.6150014645606	35.5868566301279	13.7140416657273
589	"O"	"M"	12.4835537024867	9.40477044335566	24.215188565813	27.0162214196753	11.2181776703615
590	"O"	"M"	15.6988116018102	12.2143525585812	31.6911346529238	34.1811731939297	14.2071741760708
591	"O"	"F"	16.1006949626189	13.7030084738694	31.3969546708092	36.116984567428	13.88688435046
592	"O"	"F"	17.5190749119967	14.306022908017	34.4874440031685	39.5982454549708	15.6072996272612
593	"O"	"M"	18.4046112301201	13.3942072180193	37.8867217588238	42.2176362266112	17.7048387412913
594	"O"	"M"	17.5125494161434	12.7198203290068	34.5989347063378	38.4033374889754	16.1012484665774
595	"O"	"F"	23.0998875976261	20.1851519879606	46.2179247937817	52.4906987256277	21.0930683553033
596	"O"	"F"	18.5163626679033	14.5886863915715	36.9861273130868	41.980578270806	16.5915341610275
597	"O"	"M"	13.2089421243127	10.9910255770478	27.1115974572208	30.4199417542294	12.1985507535283
598	"O"	"M"	10.2007095648721	8.19584205196239	20.2124527396541	22.1922277387697	9.00749060962349
599	"O"	"F"	18.5924096651748	14.4805508222897	34.6838780827168	39.4166746408399	15.0131577827502
600	"O"	"M"	14.190625008354	10.6156324321032	28.7054651284311	31.6886424592696	12.886039973842
601	"O"	"M"	21.4908191694785	15.4817120236065	45.5121382436808	49.7060052345786	20.9156844357029
602	"O"	"F"	17.5956012692954	13.9889178007562	34.0158178263437	38.5920679309778	15.4815127496701
603	"O"	"M"	17.5118104609568	11.9956151723862	34.4065383382235	37.3089175604563	15.3022615884151
604	"O"	"F"	12.5834451925661	11.5154708838277	25.0037923775334	28.1003524498735	11.5096091767028
605	"O"	"M"	20.089593858663	13.694940510476	40.6147857626807	44.4828759297356	17.9964961768407
606	"O"	"F"	18.3106029871758	15.7106638928503	35.0987708507944	40.518746164646	16.0999792257231
607	"O"	"F"	18.0106474489626	16.3102696322557	37.9070906599704	42.9851197672077	17.2113512911741
608	"O"	"F"	19.103048622692	16.2842410245072	37.8989683380257	42.5959586749505	17.2011689358857
609	"O"	"M"	21.4965713376086	15.4930418485124	45.4826909122616	49.7113525196444	20.9079759445414
610	"O"	"M"	23.0827283516992	15.7130554430466	47.6038584137987	52.7805634361319	21.6027188451122
611	"O"	"M"	21.593762686532	14.8106230012607	43.4144205092732	48.2026709449757	20.1133863781951
612	"O"	"F"	15.6052667384222	14.0001429656707	31.5887853139546	35.3153269454464	13.8126235794835
613	"O"	"F"	18.4146844564658	15.683655800866	36.5139067172538	41.5867253479548	16.4001675535459
614	"O"	"M"	12.4855623339862	9.40256443932653	24.1858972418774	26.9967038424779	11.1895912690833
615	"O"	"F"	18.4059341162164	15.4857546805497	35.6052869448159	40.0163244523201	15.9060943361092
616	"O"	"M"	21.600085429633	15.3948625818733	45.7072951893043	49.6863912631758	20.6096826036368
617	"O"	"M"	17.7908776162192	12.5129263278656	35.9897414083872	39.781239234237	16.6909801817406
618	"O"	"M"	12.717531830268	10.3971225485392	26.013754486721	28.7855856759287	12.1141683138348
619	"O"	"M"	12.7090560428333	10.4167026918475	26.002573115658	28.7894075272325	12.1151066263858
620	"O"	"M"	21.5959754435159	14.8115130353067	43.4078307815734	48.1893729941268	20.0884735485818
621	"O"	"F"	20.1095685993973	17.1838435008191	39.8038620022126	44.0985474195331	18.5926728462148
622	"O"	"M"	16.3190219551232	11.5998430843092	31.5838767975755	34.1801100941841	14.4812273214012
623	"O"	"M"	22.1038714039978	15.8112031529192	44.5961567036621	49.6127271933015	20.4999046408664
624	"O"	"M"	18.3964577725809	13.4135842444003	37.9193662973773	42.1812904512417	17.6814326740056
625	"O"	"M"	18.795143500017	13.4017026600055	37.1829483438842	41.0921804388799	17.5031750401296
626	"O"	"F"	19.7122215066571	16.6917944191489	39.9059558445588	43.5976354154572	18.1888282122649
627	"O"	"M"	21.4895404891949	15.4808967287932	45.5049392964039	49.7100973647367	20.8867097338289
628	"O"	"F"	14.6802601568773	13.2051599744707	29.6185744997859	33.3976401143707	12.8999393659644
629	"O"	"M"	14.0890756322164	10.5103521489259	29.1109863780625	31.5808205399662	13.1153979697078
630	"O"	"F"	14.9187626270577	13.0171549002826	30.0111175210215	33.7025559782982	13.295828408245
631	"O"	"M"	21.5952193644643	15.3863047741074	45.7117472803313	49.6857564103883	20.6178520758264
632	"O"	"F"	14.8806968284212	12.9982690366451	29.9994336657878	33.6805320630036	13.3176488008909
633	"O"	"F"	20.1091346622165	17.2095090767741	39.7803719716053	44.1179151166696	18.5920275893528
634	"O"	"M"	16.3157800681237	11.5907137734257	31.58347490252	34.1927894200757	14.5105300960783
635	"O"	"F"	14.0020608255174	11.9165766202752	27.0148135988507	31.4131493674871	12.6149162685685
636	"O"	"F"	17.489540803181	14.7006470438372	33.3090497428924	37.5898554991465	14.6037273933832
637	"O"	"M"	15.7160451851878	12.2019445721712	31.7075948494673	34.1889123573247	14.1945433127414
638	"O"	"F"	18.0089936713595	14.9017910924647	34.6901748986263	39.4862488914561	15.7194847211055
639	"O"	"F"	13.9820047341473	12.7917265014257	28.7914557471219	32.407082859762	12.6919753761124
640	"O"	"F"	14.0056272802036	12.7909184185695	28.8025431616046	32.3980209149234	12.6976147033554
641	"O"	"M"	15.0863722014613	11.5045505075064	30.8802043663617	33.9975523297954	13.8927373617888
642	"O"	"F"	18.5915193539672	14.4893490786571	34.7083225231245	39.387517914949	15.0016074437834
643	"O"	"F"	17.985625478914	14.9135012692306	34.6908656689245	39.4987079345435	15.7024950438086
644	"O"	"F"	13.9923426227272	11.8874532796443	26.9837825385761	31.4072722332831	12.6147854956612
645	"O"	"M"	23.085635912111	15.6830370456167	47.6056069999561	52.7934722063411	21.6149505150504
